RAM,avgRating,batteryCapacity,color,discount,lensDetail,memoryDetail,name,price,processor,ratingCount,reviewCount,screenDimention,warranty
,4.3,6000 mAh Lithium Ion Battery,"Nightsky Green,Sunrise Copper,Waterfall Blue",26% off,50MP + 5MP + 2MP | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)","₹10,999",Exynos 850 Processor,"1,49,128 Ratings","8,528 Reviews",16.76 cm (6.6 inch) Full HD+ Display,1 Year Warranty Provided By the Manufacturer from Date of Purchase
,4.2,5000 mAh Lithium-Ion Battery,"Jade Purple,Opal Green",26% off,13MP + 2MP | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)","₹8,499",Mediatek Helio P35 Processor,"22,509 Ratings","1,146 Reviews",16.51 cm (6.5 inch) HD Display,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
,4.3,5000 mAh Battery,"Power Black,Royal Blue",30% off,8MP Dual Rear Camera | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"POCO C51 (Power Black, 64 GB)","₹6,999",Helio G36 Processor,"12,486 Ratings",427 Reviews,16.56 cm (6.52 inch) HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
,3.9,5000 mAh Battery,"Lavender Blue,Matte Charcoal",28% off,50MP + 2MP + 2MP | 8MP Front Camera,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"MOTOROLA g13 (Matte Charcoal, 128 GB)","₹9,999",Helio G85 Processor,"18,016 Ratings","1,721 Reviews",16.51 cm (6.5 inch) HD+ Display,1 Year on Handset and 6 Months on Accessories
,4.3,5000 mAh Battery,"Power Black,Royal Blue",30% off,8MP Dual Rear Camera | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"POCO C51 (Royal Blue, 64 GB)","₹6,999",Helio G36 Processor,"12,486 Ratings",427 Reviews,16.56 cm (6.52 inch) HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
,4.3,6000 mAh Lithium Ion Battery,"Nightsky Green,Sunrise Copper,Waterfall Blue",29% off,50MP + 5MP + 2MP | 8MP Front Camera,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)","₹11,999",Exynos 850 Processor,"1,49,128 Ratings","8,528 Reviews",16.76 cm (6.6 inch) Full HD+ Display,1 Year Warranty Provided By the Manufacturer from Date of Purchase
,4.2,5000 mAh Lithium-Ion Battery,"Jade Purple,Opal Green",26% off,13MP + 2MP | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)","₹8,499",Mediatek Helio P35 Processor,"22,509 Ratings","1,146 Reviews",16.51 cm (6.5 inch) HD Display,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
,3.9,5000 mAh Battery,"Arctic Blue,Eco Black",33% off,50MP + 2MP | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"MOTOROLA e32 (Arctic Blue, 64 GB)","₹7,999",Mediatek Helio G37 Processor,"3,987 Ratings",324 Reviews,16.51 cm (6.5 inch) HD+ Display,1 Year on Handset and 6 Months on Accessories
"4 GB,8 GB",4.2,5000 mAh Battery,"Diamond White,Glacier Blue,Mirror Black",20% off,50MP + AI Lens | 5MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"Infinix HOT 30i (Glacier Blue, 128 GB)","₹9,499",G37 Processor,"19,144 Ratings","1,142 Reviews",16.76 cm (6.6 inch) HD+ Display,1 Year on Handset and 6 Months on Accessories
"4 GB,6 GB",4.2,5000 mAh Lithium-ion Polymer Battery,"Icy Blue,Power Black,Yellow",43% off,50MP + 2MP Depth Sensor + 2MP Macro Sensor | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,"POCO M5 (Icy Blue, 64 GB)","₹8,999",Mediatek Helio G99 Processor,"6,621 Ratings",509 Reviews,16.71 cm (6.58 inch) Full HD+ Display,"1 Year for Handset, 6 Months for Accessories"
,4.3,6000 mAh Battery,"Azure Blue,Emerald Green,Night Black",25% off,13MP + AI Lens | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,"Infinix SMART 7 (Azure Blue, 64 GB)","₹7,499",Unisoc Spreadtrum SC9863A1 Processor,"30,258 Ratings","1,573 Reviews",16.76 cm (6.6 inch) HD+ Display,1 Year on Handset and 6 Months on Accessories
"2 GB,4 GB",4,5000 mAh Battery,"Aurora Green,Cosmic Black,Creamy White",31% off,13MP Rear Camera | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"MOTOROLA e13 (Cosmic Black, 64 GB)","₹7,499",Unisoc T606 Processor,"23,353 Ratings","1,929 Reviews",16.51 cm (6.5 inch) HD+ Display,1 Year on Handset and 6 Months on Accessories
"4 GB,8 GB",4.2,5000 mAh Battery,"Diamond White,Glacier Blue,Mirror Black",20% off,50MP + AI Lens | 5MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"Infinix HOT 30i (Diamond White, 128 GB)","₹9,499",G37 Processor,"19,144 Ratings","1,142 Reviews",16.76 cm (6.6 inch) HD+ Display,1 Year on Handset and 6 Months on Accessories
"4 GB,8 GB",4.2,5000 mAh Battery,"Diamond White,Glacier Blue,Mirror Black",16% off,50MP + AI Lens | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"Infinix HOT 30i (Diamond White, 64 GB)","₹8,399",G37 Processor,"4,544 Ratings",264 Reviews,16.76 cm (6.6 inch) HD+ Display,1 Year on Handset and 6 Months on Accessories
,4.3,6000 mAh Battery,"Azure Blue,Emerald Green,Night Black",25% off,13MP + AI Lens | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,"Infinix SMART 7 (Night Black, 64 GB)","₹7,499",Unisoc Spreadtrum SC9863A1 Processor,"30,258 Ratings","1,573 Reviews",16.76 cm (6.6 inch) HD+ Display,1 Year on Handset and 6 Months on Accessories
"4 GB,8 GB",4.2,5000 mAh Battery,"Diamond White,Glacier Blue,Mirror Black",16% off,50MP + AI Lens | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"Infinix HOT 30i (Glacier Blue, 64 GB)","₹8,399",G37 Processor,"4,544 Ratings",264 Reviews,16.76 cm (6.6 inch) HD+ Display,1 Year on Handset and 6 Months on Accessories
"4 GB,8 GB",4.2,5000 mAh Battery,"Diamond White,Glacier Blue,Mirror Black",20% off,50MP + AI Lens | 5MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"Infinix HOT 30i (Mirror Black, 128 GB)","₹9,499",G37 Processor,"19,144 Ratings","1,142 Reviews",16.76 cm (6.6 inch) HD+ Display,1 Year on Handset and 6 Months on Accessories
,4.3,6000 mAh Lithium Ion Battery,"Nightsky Green,Sunrise Copper,Waterfall Blue",26% off,50MP + 5MP + 2MP | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)","₹10,999",Exynos 850 Processor,"1,49,128 Ratings","8,528 Reviews",16.76 cm (6.6 inch) Full HD+ Display,1 Year Warranty Provided By the Manufacturer from Date of Purchase
"4 GB,8 GB",4.2,5000 mAh Battery,"Diamond White,Glacier Blue,Mirror Black",16% off,50MP + AI Lens | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"Infinix HOT 30i (Mirror Black, 64 GB)","₹8,399",G37 Processor,"4,544 Ratings",264 Reviews,16.76 cm (6.6 inch) HD+ Display,1 Year on Handset and 6 Months on Accessories
"2 GB,4 GB",4,5000 mAh Battery,"Aurora Green,Cosmic Black,Creamy White",31% off,13MP Rear Camera | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"MOTOROLA e13 (Creamy White, 64 GB)","₹7,499",Unisoc T606 Processor,"23,353 Ratings","1,929 Reviews",16.51 cm (6.5 inch) HD+ Display,1 Year on Handset and 6 Months on Accessories
,4.3,6000 mAh Battery,"Azure Blue,Emerald Green,Night Black",25% off,13MP + AI Lens | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,"Infinix SMART 7 (Emerald Green, 64 GB)","₹7,499",Unisoc Spreadtrum SC9863A1 Processor,"30,258 Ratings","1,573 Reviews",16.76 cm (6.6 inch) HD+ Display,1 Year on Handset and 6 Months on Accessories
,4.3,6000 mAh Lithium Ion Battery,"Nightsky Green,Sunrise Copper,Waterfall Blue",29% off,50MP + 5MP + 2MP | 8MP Front Camera,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"SAMSUNG Galaxy F13 (Nightsky Green, 128 GB)","₹11,999",Exynos 850 Processor,"1,49,128 Ratings","8,528 Reviews",16.76 cm (6.6 inch) Full HD+ Display,1 Year Warranty Provided By the Manufacturer from Date of Purchase
"4 GB,8 GB",4.1,5000 mAh Battery,"Mineral Gray,Satin Silver",36% off,50MP + 8MP + 2MP | 16MP Front Camera,8 GB RAM | 128 GB ROM,"MOTOROLA G32 (Satin Silver, 128 GB)","₹11,999",Qualcomm Snapdragon 680 Processor,"16,926 Ratings","1,409 Reviews",16.64 cm (6.55 inch) Full HD+ Display,1 Year on Handset and 6 Months on Accessories
,4.4,5000 mAh Lithium Ion Battery,"Aqua Blue,Night Sea,Sandy Gold",25% off,50MP + 0.3MP | 5MP Front Camera,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"realme C33 2023 (Sandy Gold, 128 GB)","₹10,499",Unisoc T612 Processor,"11,764 Ratings",356 Reviews,16.51 cm (6.5 inch) HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories
,4.4,5000 mAh Lithium Ion Battery,"Aqua Blue,Night Sea,Sandy Gold",25% off,50MP + 0.3MP | 5MP Front Camera,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"realme C33 2023 (Aqua Blue, 128 GB)","₹10,499",Unisoc T612 Processor,"11,764 Ratings",356 Reviews,16.51 cm (6.5 inch) HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories
"2 GB,3 GB",4.1,5000 mAh Lithium Ion Battery,"Bamboo Green,Denim Black,Lake Blue",30% off,8MP Rear Camera | 5MP Front Camera,3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,"realme C30 (Denim Black, 32 GB)","₹6,499",Unisoc T612 Processor,"53,803 Ratings","3,305 Reviews",16.51 cm (6.5 inch) HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories
"2 GB,3 GB",4.1,5000 mAh Lithium Ion Battery,"Bamboo Green,Denim Black,Lake Blue",30% off,8MP Rear Camera | 5MP Front Camera,3 GB RAM | 32 GB ROM | Expandable Upto 1 TB,"realme C30 (Lake Blue, 32 GB)","₹6,499",Unisoc T612 Processor,"53,803 Ratings","3,305 Reviews",16.51 cm (6.5 inch) HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories
"4 GB,6 GB,8 GB",4.4,5000 mAh Battery,"Rainforest,Rainy Night,Sunshower",12% off,64MP + 2MP | 8MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"realme C55 (Rainforest, 128 GB)","₹13,999",Helio G88 Processor,"11,379 Ratings",625 Reviews,17.07 cm (6.72 inch) Full HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"4 GB,6 GB,8 GB",4.4,5000 mAh Battery,"Rainforest,Rainy Night,Sunshower",12% off,64MP + 2MP | 8MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"realme C55 (Sunshower, 128 GB)","₹13,999",Helio G88 Processor,"11,379 Ratings",625 Reviews,17.07 cm (6.72 inch) Full HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"4 GB,6 GB,8 GB",4.3,5000 mAh Battery,"Rainforest,Rainy Night,Sunshower",14% off,64MP + 2MP | 8MP Front Camera,6 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"realme C55 (Rainy Night, 64 GB)","₹11,999",Helio G88 Processor,"8,335 Ratings",548 Reviews,17.07 cm (6.72 inch) Full HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"4 GB,6 GB,8 GB",4.3,5000 mAh Battery,"Rainforest,Rainy Night,Sunshower",14% off,64MP + 2MP | 8MP Front Camera,6 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"realme C55 (Rainforest, 64 GB)","₹11,999",Helio G88 Processor,"8,335 Ratings",548 Reviews,17.07 cm (6.72 inch) Full HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"6 GB,8 GB",4.4,5000 mAh Battery,"Black Dusk,Blue Tide",6% off,64MP Rear Camera,6 GB RAM | 128 GB ROM,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)","₹18,725",,"66,752 Ratings","4,783 Reviews",16.74 cm (6.59 inch) Display,12 Months
"4 GB,6 GB,8 GB",4.4,5000 mAh Battery,"Rainforest,Rainy Night,Sunshower",15% off,64MP + 2MP | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"realme C55 (Sunshower, 64 GB)","₹10,999",Helio G88 Processor,"33,698 Ratings","1,947 Reviews",17.07 cm (6.72 inch) Full HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"4 GB,6 GB,8 GB",4.4,5000 mAh Battery,"Rainforest,Rainy Night,Sunshower",15% off,64MP + 2MP | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"realme C55 (Rainforest, 64 GB)","₹10,999",Helio G88 Processor,"33,698 Ratings","1,947 Reviews",17.07 cm (6.72 inch) Full HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"4 GB,6 GB,8 GB",4.4,5000 mAh Battery,"Rainforest,Rainy Night,Sunshower",15% off,64MP + 2MP | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"realme C55 (Rainy Night, 64 GB)","₹10,999",Helio G88 Processor,"33,698 Ratings","1,947 Reviews",17.07 cm (6.72 inch) Full HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"4 GB,6 GB",4.2,6000 mAh Lithium Polymer Battery,"Caribbean Green,Midnight Black,Pacific Blue",35% off,50MP + 2MP | 5MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"REDMI 10 (Midnight Black, 128 GB)","₹10,999",Qualcomm Snapdragon 680 Processor,"35,865 Ratings","2,357 Reviews",17.02 cm (6.7 inch) HD+ Display,1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"2 GB,3 GB",4.1,5000 mAh Lithium Polymer Battery,"Country Green,Royal Blue",27% off,8MP Dual Camera | 5MP Front Camera,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,"POCO C50 (Country Green, 32 GB)","₹7,299","Mediatek Helio A22 Processor, Upto 2.0 GHz Processor","11,009 Ratings",685 Reviews,16.56 cm (6.52 inch) HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
,4.4,5000 mAh Lithium Ion Battery,"Aqua Blue,Night Sea,Sandy Gold",25% off,50MP + 0.3MP | 5MP Front Camera,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"realme C33 2023 (Night Sea, 128 GB)","₹10,499",Unisoc T612 Processor,"11,764 Ratings",356 Reviews,16.51 cm (6.5 inch) HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories
"4 GB,6 GB",4.3,5000 mAh Lithium Ion Battery,"Aqua Blue,Copper Blush,Forest Green",29% off,50MP + 8MP + 2MP | 8MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)","₹16,999",Qualcomm Snapdragon 750G Processor,"1,91,010 Ratings","14,759 Reviews",16.76 cm (6.6 inch) Full HD+ Display,1 Year Warranty Provided by the Manufacturer from Date of Purchase
"4 GB,6 GB,8 GB",4.3,5000 mAh Battery,"Rainforest,Rainy Night,Sunshower",14% off,64MP + 2MP | 8MP Front Camera,6 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"realme C55 (Sunshower, 64 GB)","₹11,999",Helio G88 Processor,"8,335 Ratings",548 Reviews,17.07 cm (6.72 inch) Full HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"4 GB,6 GB,8 GB",4.4,5000 mAh Battery,"Rainforest,Rainy Night,Sunshower",12% off,64MP + 2MP | 8MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,"realme C55 (Rainy Night, 128 GB)","₹13,999",Helio G88 Processor,"11,379 Ratings",625 Reviews,17.07 cm (6.72 inch) Full HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"4 GB,6 GB",4.2,5000 mAh Lithium Ion Polymer Battery,"Cool Blue,Power Black,Yellow",25% off,50MP + 2MP | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,"POCO M4 5G (Power Black, 64 GB)","₹11,999",Mediatek Dimensity 700 Processor,"75,419 Ratings","5,333 Reviews",16.71 cm (6.58 inch) Full HD+ Display,1 Year Warranty for Handset and 6 Months for Accessories
"4 GB,6 GB",4.2,5000 mAh Battery,"Cool Blue,Forest Green,Power Black",20% off,50MP Dual Rear Camera | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"POCO C55 (Power Black, 64 GB)","₹9,499",Mediatek Helio G85 Processor,"20,294 Ratings","1,126 Reviews",17.04 cm (6.71 inch) HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"4 GB,6 GB",4.4,5000 mAh Battery,"Flashy Black,Peppy Purple,Playful Green",33% off,50MP + 2MP + 2MP | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,"REDMI 11 Prime (Flashy Black, 64 GB)","₹9,999",Helio G99 Processor,"2,066 Ratings",85 Reviews,16.71 cm (6.58 inch) Full HD+ Display,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
